Timestamp,Container,CPU,Mem
1771173212,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173212,axum-api_axum-api_1,54.89%,45.09MB / 8.296GB
1771173215,axum-api_redis_1,1.83%,258.9MB / 8.296GB
1771173215,axum-api_mssql_1,9.22%,921.3MB / 8.296GB
1771173215,kafka1,18.19%,831.3MB / 8.296GB
1771173215,kafka2,18.82%,912.7MB / 8.296GB
1771173215,kafka3,26.57%,1.024GB / 8.296GB
1771173215,envoy-server,0.25%,13.02MB / 8.296GB
1771173215,envoy-client,0.22%,12.5MB / 8.296GB
1771173215,kafka-cluster-ui,10.72%,334.3MB / 8.296GB
1771173215,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173215,axum-api_axum-api_1,57.35%,45.03MB / 8.296GB
1771173217,axum-api_redis_1,1.80%,258.9MB / 8.296GB
1771173217,axum-api_mssql_1,9.06%,921.3MB / 8.296GB
1771173217,kafka1,18.00%,840.2MB / 8.296GB
1771173217,kafka2,18.58%,912.8MB / 8.296GB
1771173217,kafka3,26.47%,1.024GB / 8.296GB
1771173217,envoy-server,0.25%,13.02MB / 8.296GB
1771173217,envoy-client,0.22%,12.5MB / 8.296GB
1771173217,kafka-cluster-ui,10.57%,335.1MB / 8.296GB
1771173217,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173217,axum-api_axum-api_1,59.57%,45.54MB / 8.296GB
1771173219,axum-api_redis_1,1.76%,258.9MB / 8.296GB
1771173219,axum-api_mssql_1,8.90%,920.9MB / 8.296GB
1771173219,kafka1,17.75%,840.2MB / 8.296GB
1771173219,kafka2,18.33%,912.8MB / 8.296GB
1771173219,kafka3,26.36%,1.025GB / 8.296GB
1771173219,envoy-server,0.24%,13.02MB / 8.296GB
1771173219,envoy-client,0.22%,12.5MB / 8.296GB
1771173219,kafka-cluster-ui,10.34%,335.1MB / 8.296GB
1771173219,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173219,axum-api_axum-api_1,61.55%,45.52MB / 8.296GB
1771173221,axum-api_redis_1,1.73%,258.9MB / 8.296GB
1771173221,axum-api_mssql_1,8.76%,920.9MB / 8.296GB
1771173221,kafka1,18.62%,846.3MB / 8.296GB
1771173221,kafka2,19.01%,912.8MB / 8.296GB
1771173221,kafka3,26.48%,1.06GB / 8.296GB
1771173221,envoy-server,0.24%,13.02MB / 8.296GB
1771173221,envoy-client,0.22%,12.5MB / 8.296GB
1771173221,kafka-cluster-ui,10.12%,335.1MB / 8.296GB
1771173221,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173221,axum-api_axum-api_1,62.95%,45.97MB / 8.296GB
1771173223,axum-api_redis_1,1.70%,258.9MB / 8.296GB
1771173223,axum-api_mssql_1,8.61%,920.9MB / 8.296GB
1771173223,kafka1,18.52%,846.4MB / 8.296GB
1771173223,kafka2,19.05%,913.5MB / 8.296GB
1771173223,kafka3,27.21%,1.035GB / 8.296GB
1771173223,envoy-server,0.24%,13.02MB / 8.296GB
1771173223,envoy-client,0.22%,12.5MB / 8.296GB
1771173223,kafka-cluster-ui,9.91%,335.1MB / 8.296GB
1771173223,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173223,axum-api_axum-api_1,64.42%,44.76MB / 8.296GB
1771173225,axum-api_redis_1,1.68%,258.9MB / 8.296GB
1771173225,axum-api_mssql_1,8.47%,920.9MB / 8.296GB
1771173225,kafka1,18.36%,848MB / 8.296GB
1771173225,kafka2,19.07%,913.8MB / 8.296GB
1771173225,kafka3,27.10%,1.035GB / 8.296GB
1771173225,envoy-server,0.24%,13.03MB / 8.296GB
1771173225,envoy-client,0.22%,12.5MB / 8.296GB
1771173225,kafka-cluster-ui,9.71%,335.1MB / 8.296GB
1771173225,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173225,axum-api_axum-api_1,65.78%,45.51MB / 8.296GB
1771173227,axum-api_redis_1,1.65%,258.9MB / 8.296GB
1771173227,axum-api_mssql_1,8.34%,920.9MB / 8.296GB
1771173227,kafka1,18.10%,849.9MB / 8.296GB
1771173227,kafka2,18.79%,913.8MB / 8.296GB
1771173227,kafka3,26.99%,1.036GB / 8.296GB
1771173227,envoy-server,0.24%,13.03MB / 8.296GB
1771173227,envoy-client,0.22%,12.5MB / 8.296GB
1771173227,kafka-cluster-ui,9.52%,335.1MB / 8.296GB
1771173227,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173227,axum-api_axum-api_1,67.00%,44.99MB / 8.296GB
1771173229,axum-api_redis_1,1.62%,258.9MB / 8.296GB
1771173229,axum-api_mssql_1,8.21%,920.9MB / 8.296GB
1771173229,kafka1,18.14%,850.2MB / 8.296GB
1771173229,kafka2,18.68%,913.9MB / 8.296GB
1771173229,kafka3,27.07%,1.028GB / 8.296GB
1771173229,envoy-server,0.24%,13.03MB / 8.296GB
1771173229,envoy-client,0.21%,12.5MB / 8.296GB
1771173229,kafka-cluster-ui,9.34%,335.1MB / 8.296GB
1771173229,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173229,axum-api_axum-api_1,68.13%,45.55MB / 8.296GB
1771173232,axum-api_redis_1,1.59%,258.9MB / 8.296GB
1771173232,axum-api_mssql_1,8.08%,921MB / 8.296GB
1771173232,kafka1,18.74%,928.6MB / 8.296GB
1771173232,kafka2,19.23%,997.2MB / 8.296GB
1771173232,kafka3,27.01%,1.028GB / 8.296GB
1771173232,envoy-server,0.24%,13.03MB / 8.296GB
1771173232,envoy-client,0.22%,12.5MB / 8.296GB
1771173232,kafka-cluster-ui,9.16%,335.1MB / 8.296GB
1771173232,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173232,axum-api_axum-api_1,68.93%,45.28MB / 8.296GB
1771173234,axum-api_redis_1,1.57%,258.9MB / 8.296GB
